Object ID	x-center	y-center
676	734.33	244.58
677	756.19	244.81
678	238.77	245.03
679	350.27	245.73
680	661.80	245.40
681	765.02	245.05
682	779.50	245.00
683	396.67	246.33
684	503.30	246.40
685	526.75	252.43
686	695.67	246.33
687	713.75	246.00
688	742.04	248.50
689	770.31	247.19
690	313.77	248.13
691	435.00	248.50
692	492.75	248.50
693	532.50	249.89
694	594.25	250.04
695	319.75	249.50
696	418.81	250.67
697	667.88	250.40
698	724.17	250.42
699	789.75	249.50
700	248.60	250.95
701	263.29	252.16
702	294.15	251.30
703	361.60	250.95
704	443.75	250.50
705	731.50	252.54
706	355.89	252.75
707	190.25	253.89
708	285.81	253.44
709	419.67	251.67
710	647.75	253.25
711	716.83	253.17
712	761.60	252.95
713	416.75	254.00
714	443.74	255.98
715	617.75	254.50
716	669.25	256.00
717	730.00	253.25
718	153.33	256.33
719	275.81	256.67
720	292.36	257.94
721	343.67	256.33
722	376.75	255.50
723	501.08	255.67
724	678.21	257.43
725	125.24	257.94
726	482.90	257.75
727	85.89	258.75
728	207.81	258.81
729	231.27	259.33
730	247.75	257.75
731	635.75	257.50
732	219.75	259.25
733	427.75	258.50
734	668.74	261.32
735	775.31	259.81
736	764.67	260.33
737	77.50	261.75
738	128.44	261.81
739	572.64	261.75
740	581.75	260.50
741	612.25	261.36
742	739.19	261.81
743	752.00	260.75
744	427.75	261.50
745	472.75	262.00
746	265.25	264.00
747	277.75	263.36
748	316.67	263.33
749	333.19	263.81
750	376.25	263.00
751	532.25	263.42
752	653.75	263.25
753	210.25	264.25
754	227.17	264.42
755	287.87	264.77
756	575.67	264.33
757	779.35	263.95
758	160.74	267.07
759	594.75	264.75
760	647.86	265.70
761	663.75	264.50
762	417.33	266.67
763	487.67	266.44
764	514.92	266.08
765	654.00	264.50
766	100.60	266.95
767	282.50	267.00
768	306.83	267.83
769	340.15	267.05
770	373.60	266.70
771	404.50	266.50
772	483.83	266.67
773	552.60	266.95
774	696.27	269.24
775	783.75	267.00
776	210.56	269.21
777	291.75	268.25
778	565.92	268.83
779	596.60	268.20
780	654.67	268.33
781	317.94	270.73
782	335.33	269.33
783	489.75	269.25
784	540.00	269.25
785	606.50	269.12
786	643.15	269.30
787	799.00	268.50
788	103.81	270.67
789	175.67	270.33
790	411.50	270.38
791	442.75	269.50
792	495.50	269.50
793	535.40	270.73
794	549.18	272.51
795	723.60	269.95
796	260.50	271.50
797	294.50	271.50
798	372.44	272.00
799	637.00	271.25
800	671.25	271.11
801	460.65	272.52
802	756.83	272.17
803	798.00	272.74
804	147.75	272.75
805	306.58	273.58
806	335.50	271.00
807	344.56	273.44
808	398.05	273.40
809	576.40	273.30
810	593.52	278.11
811	506.17	274.42
812	691.83	273.67
813	432.00	274.50
814	190.50	276.50
815	374.60	276.30
816	419.85	276.40
817	173.50	277.00
818	295.75	276.50
819	479.20	277.60
820	281.50	278.50
