Object_ID	x-center	y-center	aperture_radius	mag_F336W	mag_F555W	color
2038	769.75	585.50	5.0	19.089	20.711	-1.622
2039	327.90	589.51	5.0	17.730	19.127	-1.397
2040	421.00	587.50	5.0	18.526	19.587	-1.061
2041	525.17	588.20	5.0	18.008	19.581	-1.573
2042	787.25	586.62	5.0	19.383	21.079	-1.696
2043	239.50	588.38	5.0	18.650	20.092	-1.443
2044	581.50	587.50	5.0	19.499	19.616	-0.116
2045	659.67	588.33	5.0	19.206	20.585	-1.379
2046	764.00	587.62	5.0	19.593	21.241	-1.648
2047	315.91	589.82	5.0	18.082	19.153	-1.071
2048	489.74	590.09	5.0	18.103	19.320	-1.218
2049	732.83	589.67	5.0	19.527	20.784	-1.257
2050	780.11	590.50	5.0	17.897	19.471	-1.574
2051	534.08	590.67	5.0	18.878	20.612	-1.733
2052	637.75	590.75	5.0	19.392	20.896	-1.504
2053	173.67	591.67	5.0	19.393	20.768	-1.375
2054	307.50	591.50	5.0	19.999	21.579	-1.580
2055	411.58	592.58	5.0	19.372	20.462	-1.090
2056	598.67	592.33	5.0	19.768	21.553	-1.786
2057	656.50	592.00	5.0	18.761	20.121	-1.360
2058	739.07	591.87	5.0	19.078	20.224	-1.146
2059	587.25	592.50	5.0	19.947	23.116	-3.169
2060	625.75	594.00	5.0	19.780	20.596	-0.816
2061	777.89	595.31	5.0	17.648	18.430	-0.783
2062	324.58	595.58	5.0	18.949	20.277	-1.328
2063	478.31	595.19	5.0	18.628	19.802	-1.174
2064	535.50	594.62	5.0	19.012	20.321	-1.309
2065	162.75	595.50	5.0	20.197	21.366	-1.169
2066	170.75	596.00	5.0	19.222	20.564	-1.342
2067	336.75	595.50	5.0	20.654	22.385	-1.731
2068	449.75	595.50	5.0	19.582	20.714	-1.133
2069	613.05	599.21	5.0	15.776	16.837	-1.062
2070	559.81	600.66	5.0	16.040	16.127	-0.087
2071	229.67	598.08	5.0	19.026	20.334	-1.308
2072	240.67	599.81	5.0	18.786	20.170	-1.383
2073	414.03	599.92	5.0	18.337	19.781	-1.444
2074	443.60	600.20	5.0	18.588	20.121	-1.533
2075	495.75	600.99	5.0	17.798	18.630	-0.832
2076	276.92	601.33	5.0	19.230	20.533	-1.303
2077	634.36	601.64	5.0	17.914	19.556	-1.642
2078	386.08	602.25	5.0	18.565	19.974	-1.409
2079	542.02	603.04	5.0	17.156	18.138	-0.981
2080	579.17	602.17	5.0	18.901	20.367	-1.466
2081	751.00	602.25	5.0	19.061	21.460	-2.399
2082	765.11	602.57	5.0	18.847	20.397	-1.550
2083	389.83	603.67	5.0	18.635	20.038	-1.404
2084	140.50	604.50	5.0	19.104	20.819	-1.715
2085	204.75	604.50	5.0	20.072	21.202	-1.130
2086	706.44	604.91	5.0	18.128	19.703	-1.575
2087	760.25	605.89	5.0	18.566	19.974	-1.408
2088	126.08	605.92	5.0	18.816	20.670	-1.854
2089	437.75	605.50	5.0	20.025	21.564	-1.539
2090	534.75	605.50	5.0	18.776	20.418	-1.642
2091	628.08	607.56	5.0	18.125	19.803	-1.678
2092	667.25	608.00	5.0	18.372	19.760	-1.389
2093	167.25	608.25	5.0	20.028	21.097	-1.069
2094	197.81	608.33	5.0	19.081	20.313	-1.232
2095	326.00	607.75	5.0	19.227	20.939	-1.712
2096	367.08	607.92	5.0	19.308	20.880	-1.572
2097	390.06	612.46	5.0	15.836	16.731	-0.895
2098	479.25	610.00	5.0	18.299	19.690	-1.391
2099	636.75	608.75	5.0	19.290	20.354	-1.064
2100	674.25	609.11	5.0	19.005	20.167	-1.162
2101	358.77	610.14	5.0	18.272	19.738	-1.466
2102	450.95	610.40	5.0	19.218	20.790	-1.572
2103	565.11	610.71	5.0	19.114	19.633	-0.519
2104	609.75	610.00	5.0	19.150	20.694	-1.544
2105	754.94	610.17	5.0	18.670	19.995	-1.325
2106	260.08	610.92	5.0	19.238	20.638	-1.400
2107	360.60	610.20	5.0	18.196	19.648	-1.452
2109	700.40	611.27	5.0	18.700	20.131	-1.432
2110	495.31	613.43	5.0	17.692	18.697	-1.004
2111	628.67	612.33	5.0	18.721	19.866	-1.145
2112	334.75	613.00	5.0	19.702	21.108	-1.406
2113	224.94	616.03	5.0	16.658	17.083	-0.425
2114	413.08	613.92	5.0	19.106	20.424	-1.318
2115	443.35	613.70	5.0	18.411	20.422	-2.011
2116	523.25	614.50	5.0	18.364	19.757	-1.393
2117	559.25	615.11	5.0	18.513	20.187	-1.673
2119	280.33	615.92	5.0	18.479	19.999	-1.520
2120	365.22	617.46	5.0	16.903	17.720	-0.817
2121	408.75	616.25	5.0	18.145	20.005	-1.859
2122	602.83	616.33	5.0	20.281	21.801	-1.520
2123	657.33	616.02	5.0	18.911	20.606	-1.695
2124	664.43	616.92	5.0	18.351	19.611	-1.260
2125	445.25	617.10	5.0	17.813	19.225	-1.413
2126	453.50	616.50	5.0	20.275	20.927	-0.651
2127	675.50	616.50	5.0	20.826	22.265	-1.439
2128	328.03	620.95	5.0	16.361	16.882	-0.521
2129	351.92	618.08	5.0	18.524	20.371	-1.847
2130	281.50	619.50	5.0	18.510	19.866	-1.356
2131	471.40	619.27	5.0	18.699	20.294	-1.596
2132	319.85	620.20	5.0	18.410	19.551	-1.141
2133	442.83	620.28	5.0	18.019	19.382	-1.363
2134	563.50	620.00	5.0	18.947	20.441	-1.495
2135	692.50	620.38	5.0	19.290	20.288	-0.998
2136	289.12	621.06	5.0	18.638	19.923	-1.286
2137	390.50	620.50	5.0	19.247	19.511	-0.264
2138	409.14	621.77	5.0	18.366	19.622	-1.257
2139	480.92	621.33	5.0	18.215	20.319	-2.104
2140	618.75	620.50	5.0	20.069	21.614	-1.545
2141	267.50	621.75	5.0	20.546	21.372	-0.825
2142	355.33	622.19	5.0	18.754	19.899	-1.146
2143	466.64	623.50	5.0	18.562	20.530	-1.969
2144	578.67	623.67	5.0	20.030	22.532	-2.502
2145	728.70	624.60	5.0	18.898	20.156	-1.258
2146	481.38	627.55	5.0	16.975	18.344	-1.369
2147	784.07	625.87	5.0	18.997	20.281	-1.284
2148	61.15	628.00	5.0	18.312	19.606	-1.295
2149	729.50	625.50	5.0	18.855	20.123	-1.269
2150	738.67	627.62	5.0	18.550	20.026	-1.476
2151	141.67	627.67	5.0	19.969	20.947	-0.979
2152	366.42	628.17	5.0	18.111	19.503	-1.392
2153	370.58	628.83	5.0	18.772	20.033	-1.261
2154	466.08	628.58	5.0	18.972	20.338	-1.366
2155	525.97	628.23	5.0	19.024	20.727	-1.703
2156	362.04	629.18	5.0	18.333	19.940	-1.607
2157	434.67	628.67	5.0	19.924	21.422	-1.498
2158	606.85	629.20	5.0	18.399	19.706	-1.308
2159	700.67	629.33	5.0	19.304	20.709	-1.405
2160	113.79	633.11	5.0	15.802	16.802	-1.001
2161	403.50	630.50	5.0	18.958	20.546	-1.588
2162	572.92	630.83	5.0	17.308	18.118	-0.810
2163	617.31	631.19	5.0	18.303	19.480	-1.177
2164	79.50	631.50	5.0	20.000	21.307	-1.307
2165	212.72	633.17	5.0	18.715	19.867	-1.151
2166	556.40	633.30	5.0	18.189	19.807	-1.618
2168	591.25	633.25	5.0	18.441	20.041	-1.600
2169	714.10	633.50	5.0	18.606	19.331	-0.725
2170	775.15	633.92	5.0	18.505	19.774	-1.269
2171	388.89	634.50	5.0	18.848	20.278	-1.430
2172	541.08	633.67	5.0	18.844	20.467	-1.623
2173	678.76	634.29	5.0	18.381	19.203	-0.821
2174	323.67	635.34	5.0	18.597	19.785	-1.188
2175	395.83	634.67	5.0	19.433	20.972	-1.539
2176	488.69	635.22	5.0	18.302	20.129	-1.827
2177	519.67	635.33	5.0	20.082	21.551	-1.469
2178	57.08	636.77	5.0	18.234	20.007	-1.773
2179	90.95	636.60	5.0	19.527	20.906	-1.379
2180	233.79	637.20	5.0	17.641	19.000	-1.359
2181	454.50	635.62	5.0	18.921	20.649	-1.728
2182	618.50	636.50	5.0	18.944	19.670	-0.727
2183	224.21	639.83	5.0	16.066	16.189	-0.123
2184	433.75	637.25	5.0	20.012	21.675	-1.663
2185	504.64	637.62	5.0	18.297	19.580	-1.284
2186	602.75	637.75	5.0	18.853	20.581	-1.729
2187	610.33	636.67	5.0	19.634	20.922	-1.288
2188	652.11	637.50	5.0	18.969	20.170	-1.201
2189	746.56	639.69	5.0	15.998	16.250	-0.252
2190	533.75	638.00	5.0	18.651	20.492	-1.841
2191	538.75	638.25	5.0	18.767	20.018	-1.251
2192	451.50	639.00	5.0	18.713	20.265	-1.552
2193	569.99	641.74	5.0	16.190	16.240	-0.050
2194	416.81	641.00	5.0	18.739	20.100	-1.361
2195	286.44	642.44	5.0	18.027	19.427	-1.400
2196	502.75	640.75	5.0	18.373	19.700	-1.327
2197	553.74	645.27	5.0	16.034	16.994	-0.960
2198	582.19	641.75	5.0	18.650	20.739	-2.089
2200	394.77	643.14	5.0	18.542	19.864	-1.322
2201	526.00	643.50	5.0	18.802	20.784	-1.982
2202	531.56	643.19	5.0	18.523	19.483	-0.960
2203	699.68	644.12	5.0	17.153	17.798	-0.645
2204	587.25	644.25	5.0	19.419	20.733	-1.314
2205	667.19	644.92	5.0	18.562	19.855	-1.293
2206	711.67	644.67	5.0	18.644	20.036	-1.393
2207	276.50	644.50	5.0	20.576	21.475	-0.899
2208	301.60	644.70	5.0	19.680	20.958	-1.278
2209	525.75	644.75	5.0	18.788	20.627	-1.839
2210	738.75	645.00	5.0	20.897	21.905	-1.007
2211	455.56	646.19	5.0	18.610	20.017	-1.407
2212	564.75	645.75	5.0	19.102	19.129	-0.027
2213	239.81	650.36	5.0	16.206	16.438	-0.232
2214	754.25	647.50	5.0	18.992	20.027	-1.035
2215	791.75	646.50	5.0	19.288	21.243	-1.956
2216	127.50	648.00	5.0	18.895	20.208	-1.313
2217	475.90	650.75	5.0	15.858	15.530	0.328
2219	773.02	648.33	5.0	18.609	19.902	-1.293
2220	165.50	649.62	5.0	18.302	19.518	-1.216
2221	250.15	649.05	5.0	18.983	20.144	-1.161
2222	350.50	648.50	5.0	18.691	20.084	-1.393
2223	508.75	649.25	5.0	18.337	20.041	-1.704
2224	512.20	650.07	5.0	18.384	19.840	-1.456
2225	526.67	648.67	5.0	19.076	20.591	-1.515
2226	498.10	650.40	5.0	18.727	20.384	-1.657
2227	612.75	650.50	5.0	19.660	22.049	-2.388
2228	718.89	650.55	5.0	17.992	18.761	-0.769
2229	112.47	651.72	5.0	17.493	18.297	-0.804
2231	727.85	653.22	5.0	17.248	18.410	-1.162
2232	736.33	651.67	5.0	18.498	19.853	-1.355
2233	754.75	649.00	5.0	18.422	20.043	-1.622
2234	70.42	652.42	5.0	18.864	20.688	-1.824
2235	88.20	654.66	5.0	18.198	19.613	-1.415
2236	390.57	652.09	5.0	18.609	19.931	-1.323
2237	550.00	652.72	5.0	18.767	20.079	-1.312
2238	557.75	651.50	5.0	20.692	19.453	1.239
2239	131.67	653.33	5.0	19.260	20.360	-1.100
2240	352.83	653.25	5.0	18.861	20.047	-1.185
2241	492.64	653.50	5.0	18.641	20.519	-1.878
2242	744.12	653.31	5.0	19.362	22.434	-3.071
2243	94.00	654.25	5.0	19.137	20.176	-1.039
2244	335.50	653.75	5.0	20.232	21.086	-0.854
2245	752.75	655.06	5.0	18.130	19.309	-1.180
2246	250.95	655.60	5.0	19.240	20.157	-0.917
2247	533.70	655.60	5.0	20.414	21.949	-1.535
2248	107.72	656.83	5.0	18.456	19.664	-1.208
2249	273.83	656.58	5.0	19.018	20.431	-1.414
2250	408.67	656.08	5.0	19.722	20.811	-1.090
2251	524.06	656.75	5.0	17.980	19.438	-1.458
2252	736.33	653.67	5.0	18.301	19.742	-1.441
2253	421.75	657.25	5.0	20.176	21.199	-1.022
2254	439.75	656.50	5.0	20.375	21.341	-0.966
2255	539.97	657.23	5.0	19.771	20.556	-0.784
2256	609.33	657.19	5.0	18.966	19.954	-0.988
2257	154.00	657.75	5.0	19.892	21.223	-1.330
2258	737.75	657.75	5.0	20.209	22.386	-2.177
2259	493.67	663.98	5.0	15.420	16.693	-1.273
2260	585.35	659.60	5.0	18.280	20.008	-1.728
2261	572.75	659.50	5.0	19.881	22.086	-2.204
2262	677.17	660.42	5.0	18.834	20.316	-1.482
2263	280.75	661.50	5.0	19.552	20.548	-0.996
2264	590.00	661.00	5.0	18.290	19.678	-1.388
2265	556.63	663.02	5.0	18.197	19.837	-1.640
2266	106.75	662.75	5.0	19.248	20.606	-1.358
2267	214.17	664.17	5.0	18.960	20.188	-1.228
2268	456.31	664.52	5.0	18.327	19.700	-1.373
2269	531.43	664.50	5.0	18.236	19.275	-1.039
2270	596.31	664.88	5.0	19.114	20.608	-1.493
2271	620.18	667.17	5.0	15.422	15.000	0.422
2272	680.70	664.60	5.0	19.137	20.155	-1.018
2273	92.08	664.67	5.0	19.737	20.646	-0.909
2274	583.50	664.75	5.0	19.224	20.918	-1.694
2275	692.00	665.00	5.0	19.471	20.941	-1.470
2276	300.28	667.75	5.0	18.763	19.602	-0.840
2277	552.67	667.08	5.0	18.727	20.206	-1.479
2278	631.68	668.21	5.0	18.394	20.243	-1.849
2279	116.50	667.50	5.0	20.463	20.948	-0.485
2280	291.75	668.15	5.0	18.380	19.418	-1.038
2281	517.19	668.31	5.0	18.194	19.805	-1.611
2282	698.75	667.75	5.0	19.750	20.757	-1.007
2283	740.46	670.64	5.0	16.104	16.142	-0.037
2284	791.17	668.42	5.0	18.385	20.188	-1.804
2285	110.50	669.00	5.0	18.972	20.245	-1.273
2286	765.85	671.33	5.0	18.347	19.463	-1.117
2287	778.00	669.50	5.0	19.692	20.535	-0.843
2288	755.30	671.45	5.0	18.494	20.211	-1.717
2289	193.50	671.50	5.0	20.245	21.399	-1.154
2290	395.75	671.75	5.0	20.277	21.118	-0.841
2291	516.90	672.35	5.0	18.220	19.590	-1.370
2292	554.87	672.82	5.0	18.643	20.050	-1.406
2293	637.30	673.76	5.0	17.100	17.899	-0.798
2294	542.64	674.25	5.0	19.156	20.712	-1.557
2295	585.14	674.66	5.0	18.573	19.865	-1.293
2296	210.92	675.33	5.0	19.158	20.524	-1.366
2297	700.17	674.92	5.0	19.073	20.335	-1.263
2298	748.81	675.33	5.0	18.787	20.064	-1.277
2299	359.50	675.50	5.0	20.808	21.452	-0.644
2300	664.00	676.25	5.0	18.341	20.069	-1.728
2301	156.33	677.08	5.0	19.417	20.679	-1.262
2302	388.27	677.73	5.0	18.718	19.949	-1.231
2303	236.50	677.50	5.0	19.637	21.598	-1.961
2304	272.50	677.75	5.0	20.158	21.339	-1.181
2305	287.50	677.75	5.0	20.327	21.521	-1.194
2306	242.08	679.58	5.0	19.106	20.442	-1.336
2307	636.75	678.50	5.0	17.527	17.955	-0.428
2308	711.08	678.67	5.0	19.820	21.462	-1.642
2309	227.25	679.75	5.0	19.825	20.653	-0.828
2310	635.25	681.08	5.0	18.144	19.231	-1.087
2311	721.00	681.50	5.0	18.546	19.365	-0.819
2312	168.50	682.64	5.0	19.274	20.453	-1.179
2313	216.25	681.50	5.0	20.535	21.299	-0.764
2314	255.67	682.08	5.0	18.867	20.326	-1.460
2315	333.33	682.08	5.0	19.812	20.549	-0.736
2316	508.96	681.91	5.0	18.682	20.086	-1.404
