ID	x	y	ap_radius	mag_F336W	mag_F555W	color
296	765.26	163.28	5.0	17.944	18.372	-0.428
297	142.67	162.17	5.0	20.465	19.715	0.750
298	186.21	163.53	5.0	18.228	19.242	-1.014
299	283.22	164.66	5.0	18.829	19.237	-0.408
300	364.52	164.80	5.0	17.730	17.780	-0.050
301	630.96	166.70	5.0	17.159	17.415	-0.256
302	84.34	166.19	5.0	17.960	18.354	-0.394
303	415.47	165.80	5.0	18.713	19.249	-0.536
304	537.25	163.95	5.0	22.176	20.186	1.990
305	331.14	166.92	5.0	18.514	18.960	-0.445
306	547.19	166.58	5.0	19.836	19.620	0.216
307	569.07	170.24	5.0	17.415	17.970	-0.555
308	682.20	170.01	5.0	15.533	15.045	0.488
309	313.97	166.97	5.0	18.261	18.751	-0.490
310	558.86	167.55	5.0	18.496	18.884	-0.388
311	92.17	167.00	5.0	21.694	20.971	0.723
312	114.75	167.00	5.0	19.048	21.189	-2.141
313	140.47	168.94	5.0	18.410	18.980	-0.570
314	288.38	168.02	5.0	20.516	19.574	0.942
315	522.31	167.81	5.0	18.642	19.208	-0.567
316	650.10	167.50	5.0	20.969	20.510	0.459
317	741.42	169.72	5.0	20.212	20.337	-0.126
318	60.75	169.85	5.0	18.602	19.899	-1.298
319	624.80	173.26	5.0	17.519	18.103	-0.584
320	656.23	170.67	5.0	18.393	18.665	-0.272
321	751.62	170.15	5.0	19.038	19.253	-0.215
322	764.50	169.73	5.0	19.943	19.096	0.847
323	477.63	171.46	5.0	18.011	18.477	-0.466
324	500.45	173.39	5.0	17.627	18.026	-0.399
325	81.82	172.29	5.0	22.439	20.182	2.257
326	360.60	173.03	5.0	17.919	18.011	-0.092
327	206.00	172.62	5.0	19.740	19.665	0.075
328	113.98	172.76	5.0	19.808	19.859	-0.051
329	300.60	172.96	5.0	18.745	18.918	-0.172
330	328.36	175.99	5.0	16.970	16.820	0.150
331	351.56	173.31	5.0	19.115	19.174	-0.059
332	422.14	173.63	5.0	20.187	21.046	-0.858
333	643.88	173.72	5.0	19.077	19.306	-0.229
334	777.24	173.87	5.0	20.079	19.942	0.136
335	279.51	175.57	5.0	18.072	18.601	-0.529
336	451.50	173.97	5.0	19.167	19.945	-0.779
337	87.99	176.77	5.0	19.957	19.791	0.166
338	131.39	177.19	5.0	18.558	18.915	-0.358
339	224.82	175.77	5.0	19.267	19.702	-0.435
340	734.64	177.48	5.0	19.196	19.407	-0.212
341	121.99	178.43	5.0	17.678	18.218	-0.540
342	235.38	178.38	5.0	19.050	19.466	-0.415
343	700.01	177.62	5.0	19.384	20.254	-0.870
344	320.65	178.52	5.0	20.058	19.746	0.312
345	346.37	179.08	5.0	18.873	19.205	-0.332
346	544.62	179.34	5.0	18.716	19.304	-0.588
347	551.02	179.01	5.0	18.555	19.076	-0.522
348	416.18	179.20	5.0	20.004	20.835	-0.831
349	69.67	182.42	5.0	18.078	19.140	-1.062
350	77.32	181.15	5.0	18.881	19.306	-0.424
351	586.76	183.30	5.0	17.789	18.450	-0.661
352	684.25	180.15	5.0	19.694	19.452	0.242
353	798.45	180.85	5.0	20.671	21.300	-0.629
354	207.15	181.50	5.0	19.260	19.354	-0.094
355	228.21	181.54	5.0	19.326	19.397	-0.071
356	306.10	181.29	5.0	18.204	18.994	-0.789
357	341.34	181.44	5.0	19.179	19.509	-0.330
358	470.64	185.15	5.0	18.215	18.616	-0.401
359	512.16	182.84	5.0	18.975	18.563	0.411
360	526.28	187.05	5.0	15.966	15.618	0.348
361	593.00	182.31	5.0	20.177	20.414	-0.237
362	672.43	184.68	5.0	17.591	18.004	-0.413
363	773.38	182.32	5.0	21.175	19.727	1.448
364	792.05	183.68	5.0	18.895	19.247	-0.352
365	276.54	185.74	5.0	16.421	16.919	-0.497
366	219.50	184.00	5.0	20.264	20.605	-0.342
367	301.17	187.10	5.0	16.793	17.134	-0.341
368	444.57	184.98	5.0	19.659	19.612	0.047
369	506.92	185.93	5.0	19.099	19.537	-0.438
370	634.35	185.90	5.0	19.167	19.749	-0.583
371	679.33	187.77	5.0	19.715	20.097	-0.382
372	727.85	185.45	5.0	20.035	19.887	0.149
373	162.50	186.60	5.0	20.038	19.481	0.557
374	224.77	186.39	5.0	19.499	19.310	0.188
375	285.34	187.55	5.0	19.436	20.142	-0.707
376	324.42	187.88	5.0	18.951	19.140	-0.190
377	766.12	186.62	5.0	27.633	20.069	7.564
378	779.36	189.73	5.0	17.465	17.972	-0.507
379	104.00	187.75	5.0	19.332	20.397	-1.065
380	430.42	187.71	5.0	21.995	20.145	1.850
381	599.99	187.37	5.0	20.803	20.440	0.363
382	146.78	190.80	5.0	18.022	18.497	-0.476
383	188.93	190.43	5.0	17.684	18.115	-0.431
384	254.35	189.38	5.0	18.332	18.702	-0.371
385	390.06	188.40	5.0	18.928	19.545	-0.616
386	480.10	190.04	5.0	17.875	18.209	-0.334
387	740.83	188.46	5.0	19.321	21.097	-1.775
388	549.22	190.80	5.0	18.182	18.738	-0.555
389	650.00	191.67	5.0	17.903	18.336	-0.433
390	130.10	192.11	5.0	19.879	19.629	0.250
391	539.94	191.31	5.0	18.588	18.913	-0.325
392	581.26	191.40	5.0	19.323	20.107	-0.784
393	354.19	191.27	5.0	19.252	19.385	-0.133
394	447.63	192.90	5.0	17.801	18.195	-0.394
395	281.43	192.30	5.0	20.444	19.464	0.980
396	350.25	191.88	5.0	19.517	19.688	-0.172
397	742.65	193.52	5.0	18.469	19.542	-1.073
398	590.86	195.42	5.0	18.619	19.376	-0.757
399	630.00	193.33	5.0	20.698	20.092	0.606
400	230.46	194.80	5.0	19.470	19.912	-0.442
401	516.54	195.11	5.0	19.739	20.066	-0.327
402	658.03	195.04	5.0	18.880	19.210	-0.330
403	685.42	196.28	5.0	18.787	19.085	-0.298
404	692.06	194.62	5.0	21.703	21.597	0.106
405	200.92	195.08	5.0	20.311	20.294	0.017
406	441.33	196.00	5.0	19.498	19.206	0.292
407	563.89	195.41	5.0	22.529	21.179	1.350
408	56.18	197.48	5.0	18.107	18.773	-0.666
409	96.85	196.05	5.0	19.085	20.102	-1.017
410	276.81	197.25	5.0	17.970	20.241	-2.271
411	302.14	197.56	5.0	18.037	18.443	-0.406
412	421.75	197.16	5.0	18.021	18.624	-0.603
413	50.90	198.00	5.0	18.460	19.653	-1.193
414	114.58	199.35	5.0	18.477	19.262	-0.785
415	134.43	197.96	5.0	19.704	19.645	0.059
416	152.51	199.09	5.0	18.606	18.982	-0.376
417	294.57	199.60	5.0	18.061	18.671	-0.610
418	511.98	196.95	5.0	20.137	19.739	0.398
419	180.01	199.88	5.0	18.602	19.114	-0.512
420	197.76	198.34	5.0	20.420	19.974	0.447
421	541.00	197.88	5.0	21.097	19.931	1.165
422	624.78	201.97	5.0	15.997	16.526	-0.529
423	635.06	198.31	5.0	20.221	22.253	-2.032
424	643.20	201.84	5.0	18.423	18.987	-0.564
425	255.55	202.36	5.0	18.271	18.875	-0.604
426	494.25	201.85	5.0	18.159	18.689	-0.531
427	160.70	200.90	5.0	24.186	20.975	3.211
428	752.05	202.64	5.0	19.038	19.237	-0.199
429	171.06	203.79	5.0	18.526	19.155	-0.629
430	532.75	202.75	5.0	21.864	20.584	1.280
431	65.70	204.50	5.0	19.102	20.250	-1.148
432	133.89	205.03	5.0	19.023	19.346	-0.323
433	142.33	205.69	5.0	18.643	19.169	-0.526
434	184.61	204.43	5.0	18.952	19.136	-0.184
435	235.12	203.76	5.0	21.571	20.434	1.137
436	487.76	205.02	5.0	18.717	19.529	-0.812
437	592.75	204.12	5.0	19.591	20.213	-0.622
438	634.58	205.57	5.0	19.172	19.979	-0.807
439	690.40	206.85	5.0	17.889	18.148	-0.259
440	739.09	204.76	5.0	20.986	20.242	0.744
441	176.71	207.14	5.0	18.272	18.656	-0.384
442	511.56	205.56	5.0	19.826	19.687	0.139
443	768.74	207.66	5.0	18.074	18.485	-0.411
444	287.59	208.28	5.0	17.699	18.104	-0.405
445	225.09	209.84	5.0	16.937	17.031	-0.094
446	460.02	211.66	5.0	16.657	16.735	-0.079
447	563.79	207.25	5.0	19.698	20.767	-1.068
448	590.13	208.87	5.0	19.248	19.263	-0.015
449	663.10	207.81	5.0	17.918	18.035	-0.117
