ID	x	y
517	158.60	214.54
518	347.67	215.13
519	568.93	215.72
520	683.91	216.31
521	716.65	214.20
522	270.08	215.50
523	310.97	216.58
524	445.27	214.63
525	646.26	216.01
526	758.10	216.24
527	768.75	214.83
528	294.74	217.72
529	497.31	218.49
530	698.76	217.98
531	706.67	216.67
532	149.13	219.95
533	247.75	218.00
534	439.83	219.94
535	577.24	218.56
536	325.03	218.93
537	159.59	221.87
538	480.69	221.44
539	490.79	223.05
540	655.75	221.25
541	693.62	222.22
542	719.03	222.74
543	209.12	222.41
544	233.60	222.20
545	246.57	222.90
546	266.67	221.67
547	346.17	221.83
548	504.49	223.24
549	536.31	222.06
550	705.77	221.87
551	118.08	222.92
552	224.21	223.74
553	643.38	223.74
554	685.91	224.94
555	110.25	224.35
556	281.94	224.62
557	446.29	224.12
558	453.25	225.33
559	571.27	227.10
560	581.50	224.17
561	125.51	226.18
562	324.14	226.18
563	190.24	230.34
564	746.44	228.06
565	167.33	227.84
566	350.29	228.47
567	585.09	230.72
568	136.65	228.05
569	229.58	228.92
570	468.73	231.27
571	480.78	233.05
572	720.04	231.16
573	236.86	232.03
574	341.12	229.38
575	150.38	230.62
576	308.06	230.69
577	502.42	230.17
578	673.19	231.62
579	128.36	231.11
580	374.40	231.55
581	758.72	232.60
582	179.47	231.89
583	157.36	233.93
584	499.29	232.54
585	652.04	233.68
586	787.44	236.33
587	449.28	237.45
588	596.35	233.95
589	100.49	235.97
590	201.50	236.42
591	267.56	235.19
592	666.91	237.36
593	796.42	237.49
594	418.86	236.64
595	69.08	236.92
596	682.20	239.99
597	153.93	239.33
598	507.83	238.00
599	605.25	241.99
600	712.73	242.29
601	123.70	239.85
602	402.33	239.25
603	460.75	239.72
604	569.77	239.75
605	196.31	240.40
606	348.63	243.27
607	428.23	241.70
608	184.30	241.19
609	221.27	244.64
610	497.22	241.31
611	468.57	242.13
612	755.60	244.24
613	76.57	244.98
614	190.90	244.45
615	659.07	244.28
616	238.50	245.00
617	341.80	244.35
618	482.14	243.96
619	396.50	246.18
620	503.29	246.27
621	585.13	245.23
622	696.02	246.42
623	526.91	251.73
624	313.72	248.21
625	460.00	247.17
626	213.00	248.00
627	320.62	249.24
628	434.39	248.39
629	493.01	248.55
630	668.30	257.25
631	789.82	249.44
632	418.33	252.09
633	248.41	250.92
634	263.46	252.32
635	443.81	253.12
636	470.02	250.22
637	565.90	250.35
638	164.33	251.29
639	717.11	252.89
640	550.13	252.89
641	636.75	251.75
642	647.89	253.43
643	782.95	252.79
644	58.38	253.50
645	189.96	254.05
646	500.74	255.23
647	586.51	255.08
648	618.18	254.56
649	126.35	259.49
650	152.70	256.28
651	275.33	256.58
652	348.93	254.97
653	376.53	255.35
654	508.00	255.79
655	116.05	256.80
656	343.52	256.27
657	483.11	257.81
658	678.70	257.60
659	85.41	258.53
660	247.68	257.65
661	435.69	257.44
662	635.57	257.38
663	219.96	259.06
664	427.40	259.51
665	563.33	258.16
666	465.67	259.00
667	752.33	260.50
668	77.04	261.73
669	346.96	259.64
670	574.01	262.78
671	581.67	260.40
672	612.65	261.31
673	787.53	261.33
674	472.48	261.64
675	502.17	261.25
676	700.49	261.91
677	758.37	262.40
678	532.14	263.05
679	160.65	267.41
680	209.46	265.42
681	264.96	264.10
682	595.85	266.64
683	144.36	266.00
684	404.12	266.53
685	416.84	266.51
686	695.61	270.66
687	101.67	269.17
688	373.39	270.67
689	81.17	266.83
690	606.04	268.70
691	723.44	269.92
692	442.77	269.65
693	495.04	269.31
694	559.09	269.50
695	671.53	270.35
696	756.07	271.19
697	200.12	270.88
698	411.18	270.50
699	260.08	271.39
700	344.16	272.73
701	362.92	270.92
702	684.39	273.01
703	59.60	272.75
704	147.97	272.87
705	576.32	272.63
706	233.88	274.63
707	357.80	273.14
708	397.60	273.91
709	771.28	274.62
710	127.27	276.68
711	173.17	276.83
712	190.26	276.64
713	211.94	275.90
714	295.52	276.65
715	240.65	276.88
716	281.17	278.39
717	505.43	278.38
718	536.68	276.74
719	632.40	277.05
720	704.76	278.50
721	749.03	276.77
722	248.13	280.08
723	656.72	281.14
724	86.04	279.88
725	338.98	278.78
726	439.88	279.82
727	511.19	278.74
728	56.19	281.46
729	140.58	280.67
730	177.85	280.29
731	735.85	281.82
732	757.00	282.41
733	765.60	280.50
734	264.72	282.03
735	580.77	282.50
736	388.87	282.62
737	529.84	281.90
738	617.50	283.00
739	300.73	283.66
740	396.99	284.78
741	405.13	283.07
742	451.86	285.19
743	772.25	283.00
744	227.75	284.00
745	709.80	284.10
746	100.46	286.36
747	183.24	286.81
748	198.96	286.01
749	284.92	286.94
750	386.00	286.25
751	530.83	287.12
752	670.00	288.93
753	73.72	289.80
754	150.70	286.90
755	644.15	287.06
756	215.07	288.98
757	276.39	288.06
758	522.08	287.42
759	176.28	290.19
760	390.92	289.08
761	441.48	292.34
762	51.17	290.00
763	139.43	292.94
764	430.70	291.41
765	587.19	296.93
766	607.06	295.05
767	273.68	292.73
768	296.85	292.32
769	330.46	292.74
770	551.11	292.64
771	721.85	290.95
772	261.42	292.29
773	660.14	293.33
774	754.49	295.30
775	507.16	294.16
776	621.90	294.68
777	732.43	293.28
778	68.59	296.12
779	385.03	298.89
780	452.60	295.05
781	514.31	294.75
782	232.05	296.90
783	650.42	296.33
784	693.63	297.38
785	327.11	297.92
786	333.65	297.05
787	359.04	297.19
788	733.59	298.70
789	63.25	298.25
790	135.67	299.53
791	427.42	298.67
792	172.50	301.64
793	239.01	301.92
794	300.44	301.06
795	87.82	304.00
796	114.31	303.04
797	344.15	302.05
798	463.41	304.45
799	508.81	302.69
800	601.38	302.68
801	650.69	303.08
802	563.60	303.67
803	612.58	303.67
804	725.73	304.21
805	96.25	305.14
806	303.80	304.85
807	442.22	305.34
808	644.20	304.90
809	711.44	305.41
810	742.65	306.34
811	200.96	306.12
812	483.57	308.06
813	527.49	306.82
814	536.32	305.96
815	701.40	309.01
816	755.33	306.75
817	226.42	307.17
818	400.65	307.48
819	194.25	308.12
820	322.32	308.49
821	216.16	310.04
822	67.18	311.51
823	94.05	310.15
824	421.96	310.23
825	594.37	309.23
826	690.20	310.52
827	239.48	313.19
828	317.70	312.43
829	379.25	310.88
830	644.98	311.27
831	50.80	313.08
832	256.84	312.94
833	385.10	312.40
834	428.79	312.08
835	83.59	314.64
836	330.25	313.83
837	394.58	313.01
838	415.04	313.92
839	521.17	318.88
840	751.76	314.02
841	280.35	319.63
842	716.85	317.59
843	739.90	313.98
844	447.42	316.62
845	496.31	319.71
